strategy,ticket_date,leg_a,leg_b,combo_odds,is_hit,leg_a_league,leg_a_odds,leg_a_type,leg_b_league,leg_b_odds,leg_b_type,pnl
conservative_selector,2026-03-28,202603286001,202603286005,11.856,False,日职,3.8,draw,英甲,3.12,draw,-100.0
conservative_selector,2026-04-03,202604035003,202604035005,11.16,False,英冠,3.6,draw,英冠,3.1,draw,-100.0
conservative_selector,2026-04-04,202604046003,202604046004,10.647,False,日职,3.15,draw,韩职,3.38,draw,-100.0
conservative_selector,2026-04-12,202604120008,202604120009,10.56,False,德乙,3.3,draw,西甲,3.2,draw,-100.0
conservative_selector,2026-04-18,202604186008,202604186016,12.6876,False,英冠,3.27,draw,德甲,3.88,handicap_draw,-100.0
conservative_selector,2026-04-19,202604190008,202604190017,12.2475,False,德乙,3.45,draw,挪超,3.55,draw,-100.0
conservative_selector,2026-04-22,202604223001,202604223003,11.715,False,日职,3.3,draw,芬超,3.55,draw,-100.0
frequency_selector,2024-09-28,202409290008,202409290012,13.774,False,意甲,3.55,handicap_draw,荷甲,3.88,handicap_draw,-100.0
frequency_selector,2024-10-05,202410056001,202410060006,11.55,False,日乙,3.3,draw,瑞超,3.5,draw,-100.0
frequency_selector,2024-10-06,202410060005,202410060012,11.532,False,西甲,3.1,draw,英冠,3.72,draw,-100.0
frequency_selector,2024-10-20,202410200001,202410200003,11.34,False,日乙,3.15,draw,意甲,3.6,draw,-100.0
frequency_selector,2024-10-26,202410266001,202410266002,10.88,False,韩职,3.2,draw,澳超,3.4,draw,-100.0
frequency_selector,2024-11-02,202411026006,202411026009,13.26,False,意甲,3.4,draw,德甲,3.9,handicap_draw,-100.0
frequency_selector,2024-11-03,202411030002,202411030005,12.35,False,意甲,3.25,draw,英超,3.8,draw,-100.0
frequency_selector,2024-11-09,202411100004,202411100006,12.9575,False,日职,3.65,draw,意甲,3.55,handicap_draw,-100.0
frequency_selector,2024-11-10,202411100005,202411100008,11.1825,False,韩职,3.55,draw,西甲,3.15,draw,-100.0
