match_id,match_date,league,home_team,away_team,rule_name,channel,bet_type,odds,hit,pnl,hcap,rank_gap,had_d,hhad_d,home_recent_win_by_1_rate,away_recent_loss_by_1_rate,away_recent_ga_per_match,h2h_draw_rate,h2h_one_goal_margin_rate,recent_low_scoring_sum
202409286010,2024-09-28,英超,诺丁汉,富勒姆,DRAW_V31_C,draw,draw,3.0,False,-100.0,0.25,,3.0,4.0,0.3333333333333333,0.0,0.8333333333333334,0.11764705882352941,0.3333333333333333,1.5
202409286013,2024-09-28,英超,埃弗顿,水晶宫,DRAW_V31_A,draw,draw,3.1,False,-100.0,0.0,4,3.1,3.95,0.0,0.0,1.0,0.4,0.3333333333333333,0.8333333333333333
202409286013,2024-09-28,英超,埃弗顿,水晶宫,DRAW_V31_C,draw,draw,3.1,False,-100.0,0.0,4,3.1,3.95,0.0,0.0,1.0,0.4,0.3333333333333333,0.8333333333333333
202409286001,2024-09-28,日职,名古屋鲸,磐田喜悦,DRAW_V31_B,draw,draw,3.3,False,-100.0,0.5,,3.3,3.5,0.3333333333333333,0.0,1.6666666666666667,0.20588235294117646,0.8333333333333334,1.1666666666666665
202409286015,2024-09-28,英冠,沃特福德,桑德兰,DRAW_V31_A,draw,draw,3.18,False,-100.0,-0.25,5,3.18,3.7,0.16666666666666666,0.16666666666666666,1.0,0.35714285714285715,0.5,1.0
202409286015,2024-09-28,英冠,沃特福德,桑德兰,DRAW_V31_B,draw,draw,3.18,False,-100.0,-0.25,5,3.18,3.7,0.16666666666666666,0.16666666666666666,1.0,0.35714285714285715,0.5,1.0
202409286008,2024-09-28,德甲,门兴,柏林联合,DRAW_V31_B,draw,draw,3.38,False,-100.0,0.25,,3.38,3.65,0.16666666666666666,0.0,0.5,0.2727272727272727,0.6666666666666666,1.3333333333333335
202409286008,2024-09-28,德甲,门兴,柏林联合,DRAW_V31_C,draw,draw,3.38,False,-100.0,0.25,,3.38,3.65,0.16666666666666666,0.0,0.5,0.2727272727272727,0.6666666666666666,1.3333333333333335
202409290012,2024-09-29,荷甲,瓦尔韦克,阿贾克斯,HDRAW_V31_A2,hdraw,handicap_draw,3.88,False,-100.0,-1.25,13,4.9,3.88,0.0,0.16666666666666666,0.6666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333
202409290012,2024-09-29,荷甲,瓦尔韦克,阿贾克斯,HDRAW_V31_A0,hdraw,handicap_draw,3.88,False,-100.0,-1.25,13,4.9,3.88,0.0,0.16666666666666666,0.6666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333
202409290011,2024-09-29,西甲,毕尔巴鄂,塞维利亚,DRAW_V31_B,draw,draw,3.52,True,252.0,0.75,,3.52,3.26,0.3333333333333333,0.3333333333333333,1.1666666666666667,0.08163265306122448,0.5,1.1666666666666665
202409290006,2024-09-29,瑞超,索尔纳,哈马比,DRAW_V31_C,draw,draw,3.12,False,-100.0,0.25,4,3.12,3.65,0.6666666666666666,0.0,0.3333333333333333,0.24242424242424243,0.3333333333333333,1.5
202409290003,2024-09-29,意甲,都灵,拉齐奥,DRAW_V31_A,draw,draw,2.98,False,-100.0,0.0,7,2.98,3.8,0.5,0.3333333333333333,1.3333333333333333,0.36363636363636365,0.16666666666666666,0.3333333333333333
202409290008,2024-09-29,意甲,罗马,威尼斯,HDRAW_V31_A0,hdraw,handicap_draw,3.55,True,254.99999999999997,1.25,11,4.5,3.55,0.0,0.16666666666666666,1.8333333333333333,0.5,0.5,1.1666666666666665
202409290009,2024-09-29,法甲,图卢兹,里昂,DRAW_V31_C,draw,draw,3.35,False,-100.0,0.25,2,3.35,4.05,0.0,0.16666666666666666,1.8333333333333333,0.20512820512820512,0.3333333333333333,1.3333333333333335
202409290001,2024-09-29,日乙,秋田闪电,德岛漩涡,DRAW_V31_A,draw,draw,2.8,False,-100.0,0.0,,2.8,3.9,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.8,0.2,1.3333333333333335
202410056002,2024-10-05,日职,浦和红钻,大阪樱花,DRAW_V31_B,draw,draw,3.3,False,-100.0,0.25,3,3.3,3.65,0.16666666666666666,0.16666666666666666,1.6666666666666667,0.22727272727272727,0.5,1.1666666666666667
202410056002,2024-10-05,日职,浦和红钻,大阪樱花,DRAW_V31_C,draw,draw,3.3,False,-100.0,0.25,3,3.3,3.65,0.16666666666666666,0.16666666666666666,1.6666666666666667,0.22727272727272727,0.5,1.1666666666666667
202410056005,2024-10-05,德甲,柏林联合,多特蒙德,DRAW_V31_C,draw,draw,3.4,False,-100.0,-0.5,2,3.4,3.6,0.5,0.0,1.6666666666666667,0.15384615384615385,0.16666666666666666,1.0
202410056008,2024-10-05,英超,莱切斯特,伯恩茅斯,DRAW_V31_A,draw,draw,3.4,False,-100.0,-0.25,,3.4,3.7,0.0,0.3333333333333333,1.5,0.4,0.3333333333333333,0.8333333333333333
202410056008,2024-10-05,英超,莱切斯特,伯恩茅斯,DRAW_V31_C,draw,draw,3.4,False,-100.0,-0.25,,3.4,3.7,0.0,0.3333333333333333,1.5,0.4,0.3333333333333333,0.8333333333333333
202410056001,2024-10-05,日乙,甲府风林,冈山绿雉,DRAW_V31_B,draw,draw,3.3,False,-100.0,-0.25,5,3.3,3.55,0.0,0.16666666666666666,0.16666666666666666,0.23809523809523808,0.5,1.3333333333333335
202410056001,2024-10-05,日乙,甲府风林,冈山绿雉,DRAW_V31_C,draw,draw,3.3,False,-100.0,-0.25,5,3.3,3.55,0.0,0.16666666666666666,0.16666666666666666,0.23809523809523808,0.5,1.3333333333333335
202410060005,2024-10-06,西甲,赫罗纳,毕尔巴鄂,DRAW_V31_B,draw,draw,3.1,False,-100.0,0.25,,3.1,3.8,0.0,0.0,0.8333333333333334,0.125,0.8333333333333334,1.3333333333333333
202410060005,2024-10-06,西甲,赫罗纳,毕尔巴鄂,DRAW_V31_C,draw,draw,3.1,False,-100.0,0.25,,3.1,3.8,0.0,0.0,0.8333333333333334,0.125,0.8333333333333334,1.3333333333333333
202410060006,2024-10-06,瑞超,索尔纳,赫根,DRAW_V31_B,draw,draw,3.5,False,-100.0,0.75,4,3.5,3.55,0.6666666666666666,0.16666666666666666,2.0,0.2222222222222222,0.5,1.1666666666666667
