label,max_losing_streak_avg,model_roi_percentile,roi_avg,roi_median,roi_p80,roi_p90,roi_p95,ticket_count,trials
全市场随机,41.61,0.903,-0.20300372045454526,-0.22956439393939393,0.019295454545454546,0.16150378787878789,0.2772121212121212,132,1000
约束随机,27.725,0.42,0.24133220075757564,0.2435848484848485,0.48471969696969697,0.631405303030303,0.7457204545454545,132,1000
