strategy,label,max_losing_streak_avg,model_roi_percentile,roi_avg,roi_median,roi_p80,roi_p90,roi_p95,ticket_count,trials
balanced_selector,全市场随机,43.78,0.828,-0.2110042966442952,-0.23088926174496643,-0.0013187919463087247,0.15208053691275167,0.27976510067114096,149,1000
balanced_selector,候选池约束随机,28.941,0.249,0.2450380583892616,0.23696644295302013,0.4954208053691275,0.6087275167785235,0.7151006711409396,149,1000
conservative_selector,全市场随机,39.42,0.472,-0.19635332844827563,-0.2068103448275862,0.06073275862068966,0.2197155172413793,0.3189051724137931,116,1000
conservative_selector,候选池约束随机,27.575,0.084,0.23130631896551707,0.21494310344827589,0.5122905172413793,0.7004827586206896,0.8271594827586206,116,1000
frequency_selector,全市场随机,43.264,0.994,-0.2206860057553957,-0.22667266187050358,-0.011615107913669064,0.13671223021582735,0.22659712230215825,139,1000
frequency_selector,候选池约束随机,28.702,0.819,0.2375428086330939,0.252158273381295,0.47102158273381295,0.6050791366906475,0.7449510791366907,139,1000
