match_id,match_date,league,home_team,away_team,rule_name,channel,bet_type,odds,hit,pnl,hcap,rank_gap,had_d,hhad_d,home_recent_win_by_1_rate,away_recent_loss_by_1_rate,away_recent_ga_per_match,h2h_draw_rate,h2h_one_goal_margin_rate,recent_low_scoring_sum
202409286015,2024-09-28,英冠,沃特福德,桑德兰,DRAW_V32_CORE,draw,draw,3.18,False,-100.0,-0.25,5,3.18,3.7,0.16666666666666666,0.16666666666666666,1.0,0.35714285714285715,0.5,1.0
202409286008,2024-09-28,德甲,门兴,柏林联合,DRAW_V32_CORE,draw,draw,3.38,False,-100.0,0.25,,3.38,3.65,0.16666666666666666,0.0,0.5,0.2727272727272727,0.6666666666666666,1.3333333333333335
202409286001,2024-09-28,日职,名古屋鲸,磐田喜悦,DRAW_V32_CORE,draw,draw,3.3,False,-100.0,0.5,,3.3,3.5,0.3333333333333333,0.0,1.6666666666666667,0.20588235294117646,0.8333333333333334,1.1666666666666665
202409290012,2024-09-29,荷甲,瓦尔韦克,阿贾克斯,HDRAW_V32_CORE,hdraw,handicap_draw,3.88,False,-100.0,-1.25,13,4.9,3.88,0.0,0.16666666666666666,0.6666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333
202409290011,2024-09-29,西甲,毕尔巴鄂,塞维利亚,DRAW_V32_CORE,draw,draw,3.52,True,252.0,0.75,,3.52,3.26,0.3333333333333333,0.3333333333333333,1.1666666666666667,0.08163265306122448,0.5,1.1666666666666665
202409290008,2024-09-29,意甲,罗马,威尼斯,HDRAW_V32_CORE,hdraw,handicap_draw,3.55,True,254.99999999999997,1.25,11,4.5,3.55,0.0,0.16666666666666666,1.8333333333333333,0.5,0.5,1.1666666666666665
202410056002,2024-10-05,日职,浦和红钻,大阪樱花,DRAW_V32_CORE,draw,draw,3.3,False,-100.0,0.25,3,3.3,3.65,0.16666666666666666,0.16666666666666666,1.6666666666666667,0.22727272727272727,0.5,1.1666666666666667
202410056001,2024-10-05,日乙,甲府风林,冈山绿雉,DRAW_V32_CORE,draw,draw,3.3,False,-100.0,-0.25,5,3.3,3.55,0.0,0.16666666666666666,0.16666666666666666,0.23809523809523808,0.5,1.3333333333333335
202410060012,2024-10-06,英冠,布城,加的夫城,DRAW_V32_CORE,draw,draw,3.72,True,272.0,0.75,,3.72,3.2,0.16666666666666666,0.16666666666666666,2.3333333333333335,0.13333333333333333,0.5,1.1666666666666665
202410060006,2024-10-06,瑞超,索尔纳,赫根,DRAW_V32_CORE,draw,draw,3.5,False,-100.0,0.75,4,3.5,3.55,0.6666666666666666,0.16666666666666666,2.0,0.2222222222222222,0.5,1.1666666666666667
202410060005,2024-10-06,西甲,赫罗纳,毕尔巴鄂,DRAW_V32_CORE,draw,draw,3.1,False,-100.0,0.25,,3.1,3.8,0.0,0.0,0.8333333333333334,0.125,0.8333333333333334,1.3333333333333333
202410200003,2024-10-20,意甲,恩波利,那不勒斯,DRAW_V32_CORE,draw,draw,3.6,False,-100.0,-0.75,0,3.6,3.25,0.16666666666666666,0.0,0.3333333333333333,0.17647058823529413,0.6666666666666666,1.0
202410200001,2024-10-20,日乙,冈山绿雉,磐城FC,DRAW_V32_CORE,draw,draw,3.15,False,-100.0,0.5,4,3.15,3.35,0.16666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1.5
202410266002,2024-10-26,澳超,墨尔本城,墨胜利,DRAW_V32_CORE,draw,draw,3.4,False,-100.0,0.0,,3.4,3.9,0.5,0.16666666666666666,0.16666666666666666,0.3111111111111111,0.5,1.1666666666666665
202410266001,2024-10-26,韩职,江原FC,金泉尚武,DRAW_V32_CORE,draw,draw,3.2,False,-100.0,0.25,2,3.2,3.65,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.1111111111111111,1.0,1.1666666666666665
202410270002,2024-10-27,韩职,浦项制铁,蔚山现代,DRAW_V32_CORE,draw,draw,3.2,False,-100.0,0.0,2,3.2,3.77,0.3333333333333333,0.0,1.1666666666666667,0.29577464788732394,0.8333333333333334,1.3333333333333333
202411026012,2024-11-02,英超,南安普敦,埃弗顿,DRAW_V32_CORE,draw,draw,3.17,False,-100.0,0.0,0,3.17,4.4,0.16666666666666666,0.0,0.6666666666666666,0.2727272727272727,0.5,1.1666666666666667
202411026009,2024-11-02,德甲,法兰克福,波鸿,HDRAW_V32_CORE,hdraw,handicap_draw,3.9,False,-100.0,1.25,8,4.8,3.9,0.3333333333333333,0.16666666666666666,3.3333333333333335,0.2631578947368421,0.16666666666666666,0.3333333333333333
202411026006,2024-11-02,意甲,博洛尼亚,莱切,DRAW_V32_CORE,draw,draw,3.4,False,-100.0,0.75,1,3.4,3.15,0.0,0.3333333333333333,2.1666666666666665,0.35,0.5,1.5
202411030005,2024-11-03,英超,热刺,维拉,DRAW_V32_CORE,draw,draw,3.8,False,-100.0,0.5,,3.8,4.0,0.5,0.16666666666666666,0.6666666666666666,0.2222222222222222,0.5,1.0
202411030002,2024-11-03,意甲,那不勒斯,亚特兰大,DRAW_V32_CORE,draw,draw,3.25,False,-100.0,0.25,5,3.25,3.56,0.3333333333333333,0.0,0.3333333333333333,0.21052631578947367,0.5,1.1666666666666665
202411096007,2024-11-09,英超,西汉姆联,埃弗顿,DRAW_V32_CORE,draw,draw,3.3,True,229.99999999999997,0.5,2,3.3,3.5,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.25,0.6666666666666666,1.0
202411100008,2024-11-10,西甲,贝蒂斯,塞尔塔,DRAW_V32_CORE,draw,draw,3.15,True,215.0,0.5,,3.15,3.5,0.5,0.16666666666666666,1.1666666666666667,0.35294117647058826,0.6666666666666666,1.0
202411100006,2024-11-10,意甲,亚特兰大,乌迪内斯,HDRAW_V32_CORE,hdraw,handicap_draw,3.55,True,254.99999999999997,1.25,13,4.75,3.55,0.0,0.5,1.5,0.34146341463414637,0.0,1.3333333333333333
202411100005,2024-11-10,韩职,全北现代,大邱FC,DRAW_V32_CORE,draw,draw,3.55,False,-100.0,0.5,0,3.55,3.48,0.16666666666666666,0.16666666666666666,1.5,0.20754716981132076,0.5,1.3333333333333333
