strategy,active_days,avg_combo_odds,combo_count,coverage_rate,hit_count,hit_rate,max_losing_streak,median_combo_odds,pnl,roi
same_day_strongest,132,12.605004545454538,132,0.23076923076923078,12,0.09090909090909091,35,12.6,2249.45,0.17041287878787878
two_day_rolling,144,12.67727569444444,144,0.2517482517482518,14,0.09722222222222222,23,12.88,2575.59,0.1788604166666667
high_odds_attractor,132,12.650843181818175,132,0.23076923076923078,10,0.07575757575757576,38,12.6,-427.6,-0.0323939393939394
